商户账户编号,清算日期,下单时间,交易时间,客户消费订单号,消费交易流水号,消费金额,实收金额,收费方式,收款方手续费,支付产品,商品类别,商品名称,支付卡类型
10000419568,2015-04-29,2015-04-29 10:30:18,2015-04-29 10:31:15,14302747221859279,411504293781809939,0.01,0.01,实收,0.0,移动端WEB支付,30,菜苗金融-充值,银行借记卡
10000419568,2015-04-22,2015-04-22 13:32:07,2015-04-22 13:34:17,s0Hqrer1cV0aFMJ,411504224872772118,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-21,2015-04-21 17:21:38,2015-04-21 17:21:44,OUTTK20150619T0000001,411504216249857182,5.0,5.0,实收,0.0,移动端WEB支付,30,13677770004 在鑫合汇充值订单,银行借记卡
10000419568,2015-04-22,2015-04-22 10:31:24,2015-04-22 10:31:32,IwO0lKjYypsqTxs,411504223788435935,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 10:33:39,2015-04-22 10:33:47,KgrNP7b8wFxlPU5,411504223801951450,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 10:51:25,2015-04-22 10:51:36,Dl9WkHrRRMzfwBe,411504223908585532,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:12:29,2015-04-22 11:12:33,qoeGeoPl4Hryw7z,411504224034968366,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:13:32,2015-04-22 11:13:36,rHMEwYNecmOTjKJ,411504224041279147,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:22:19,2015-04-22 11:22:30,4FgSVtuNsVP9Foi,411504224093949730,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:23:40,2015-04-22 11:23:49,Q6tHn5ZZA0Jdd3f,411504224102053865,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:26:24,2015-04-22 11:26:32,gnSTYf88NlfnLoY,411504224118470818,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 11:35:39,2015-04-22 11:35:46,K8CricWhE0DXeUT,411504224173954325,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 13:20:34,2015-04-22 13:20:44,HIFVufALgRQ1RJy,411504224803476775,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 13:38:00,2015-04-22 13:38:08,8QxAqbBcP47wgEF,411504224908014921,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 13:50:03,2015-04-22 13:50:10,1xOC5XI3HEMQ8Pe,411504224980319409,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 13:50:39,2015-04-22 13:50:48,E7baABjjYCvkX6A,411504224983913970,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 14:14:18,2015-04-22 14:15:07,CawtV7xbcvtTH9q,411504225125817570,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 14:20:05,2015-04-22 14:20:13,BPKFg1j7rJx8VdN,411504225160567307,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
10000419568,2015-04-22,2015-04-22 15:58:25,2015-04-22 16:00:21,NZoP8skrmGAduNo,411504225750514727,0.01,0.01,实收,0.0,移动端WEB支付,30,植物大战僵尸钻石,银行借记卡
